TLS_tree_id,TLS_x,TLS_y,TLS_z,field_X_local,field_X_utm,field_X_utm_korj,field_KoealaId,field_KoealaNro,TLS_dbh,TLS_tree_ht,field_D,field_DEst,field_H,field_HEst,field_H_Laser,field_H_Laser_korj,field_match,distance,cost,field_PuuLk,field_TEst,field_VEst,dbh,h,hmax,d05,d6,hstemmax_rawtapercurve,hstemmax_stempc,hstemmax_tapercurve,pointcount,stempointcount,stempointcount_clean,crownpointcount,ba,vlog,vol,vpulp,tree_specie,treesp,Ulkona,distance_to_threedfin_cm,threedfin_match,threedfin_dbh,threedfin_hmax,threedfin_x,threedfin_y
35,581114.43,6932780.51,91.72,NA,NA,581114.324,547666,0,0.17,25.31,30.6,30.6,NaN,25.65,25.06,25.65,6450480,0.115156415363692,1.50915641536369,1,50,878.98,28.8080465213562,25.5,25.5464,25.560849650716,27.3798626111344,11.33,11.53014,10.76,1816225,91615,90891,1724610,0.0651804719550435,0.989057099840635,1.03184593207726,0.0405662417646942,2,2,NaN,8.45902645899459,52,0.309260304095309,25.5041452652935,581114.377711626,6932780.5764939
55,581123.33,6932790.98,91.41,NA,NA,581123.204,547666,0,0.13,7.37,6.7,6.7,NaN,7.17,6.55,7.17,6450500,0.126775391913149,0.776775391913149,1,35,14.27,10.3566699449849,7.39828,7.39828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NaN,4.45263279979751,40,0.0754013289215993,7.46162410222325,581123.286455266,6932790.97070215
61,581117.64,6932794.66,91.56,NA,NA,581117.545,547666,0,0.07,9.04,7.9,7.9,NaN,7.46,NaN,NaN,6450589,0.124843902667753,0.372843902667752,1,39,20.11,10.430655365907,4.39933000000001,4.39933000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NaN,2.2973075555575,41,0.0862940247552136,14.1080861171681,581117.635590551,6932794.63745407
64,581121.67,6932787.72,91.54,NA,NA,581121.538,547666,0,0.15,9.66,10.4,10.4,NaN,9.91,NaN,NaN,6450496,0.165601932772739,0.650601932772739,1,46,44.45,12.1876653383973,9.7,9.7983,12.0879846115425,10.6708902242942,8.87,9.34856000000001,5.48,684409,48487,41011,635922,0.0116662404191716,0,0.0813976007475669,0.0794315792398649,2,2,NaN,2.95376433973605,39,0.109408865120522,23.8868054539202,581121.689960541,6932787.74177267
66,581118.29,6932797.35,91.47,NA,NA,581118.12,547666,0,0.07,9.16,8.6,8.6,NaN,9.13,8.52,9.13,6450592,0.17720045171713,0.34020045171713,1,41,28.8,9.7330763586987,9.2,9.2962,5.71097017203623,4.00507967870169,2.763,2.74921999999999,2.762,57188,17838,17838,39350,0.00744029478160484,0,0.0310837393996604,0.0265452002434036,2,2,NaN,2.38517906404129,33,0.0909932596524381,11.9841522155333,581118.287913223,6932797.32623967
68,581122.41,6932793.83,91.48,NA,NA,581122.315,547666,0,0.09,5.84,5.4,5.4,NaN,4.96,NaN,NaN,6450575,0.126150703352012,0.574150703352012,1,31,6.97,12.3579951628893,5.9,5.99881999999999,7.80990252341144,0,2.464,2.44987999999999,2.386,49581,27735,27409,21846,0.0119946042421861,0.00650108938340013,0.0405383835976862,0.0318717630056618,2,2,NaN,2.43042013338274,47,0.0689417898009627,21.2929889906336,581122.392760736,6932793.8471319
70,581121.91,6932793.13,91.5,NA,NA,581121.37,547666,0,0.07,9.49,5.3,5.3,5,5,NaN,NaN,6450574,0.545321923356709,1.16432192335671,1,30,6.76,9.28515822859298,3.8,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NaN,0.0656501862308557,46,0.075610167609595,23.9366304749411,581121.909592814,6932793.12948503
72,581119.55,6932798.14,91.43,NA,NA,581119.383,547666,0,0.07,8.78,7.5,7.5,NaN,8.44,7.82,8.44,6450593,0.177792013568983,0.261792013568983,1,38,20.64,11.0128896320377,3.79935,3.79935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NaN,1.94025905778708,38,0.0825027963390825,9.34061238358932,581119.561298969,6932798.1242268
76,581129.94,6932791.81,91.29,NA,NA,581129.744,547666,0,0.09,6.1,8.6,8.6,6.3,6.3,NaN,NaN,6450522,0.207460839664951,0.267460839664951,1,41,20.1,10.867851664256,6.2,6.23358999999999,9.25519317779056,1.00738116474644,6.2,6.19959999999999,2.33,61957,29221,11823,32736,0.00927635339984979,0,0.035855947675471,0.0339075548788395,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,581123.93,6932789.02,91.35,NA,NA,581123.752,547666,0,0.07,6.66,7.9,7.9,NaN,6.44,5.82,6.44,6450499,0.201764714837025,0.313764714837025,1,39,17.53,8.63793743702053,6.5,6.58781,8.63793743702053,2.86735996379014,6.202,6.19606999999999,3.352,116643,59903,46707,56740,0.00586016696342877,0,0.0303676403973461,0.0289536422102695,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,581123.48,6932793.16,91.52,NA,NA,581123.376,547666,0,0.09,8.24,7.9,7.9,NaN,7.69,7.07,7.69,6450571,0.25059928180385,0.41559928180385,1,39,20.71,9.39313047493228,8.3,8.39931,9.64720795483041,8.05667051501426,7.88,7.89802999999999,5.72,93363,21656,21168,71707,0.0069296386908446,0,0.045939297638622,0.0440992894658548,2,2,NaN,0.422932302744441,37,0.0898152164630171,8.64583442397947,581123.484185733,6932793.15939435
82,581125.78,6932795.07,91.45,NA,NA,581125.721,547666,0,0.13,8.03,7,7,7.3,7.3,NaN,NaN,6450569,0.0600166643498101,0.73301666434981,1,36,15.74,12.1178980425569,7.69040000000001,7.69040000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NaN,10.3494194328682,19,0.145048408776655,23.2949678423801,581125.857631452,6932795.13844272
85,581117.3,6932789.38,91.73,NA,NA,581117.037,547666,0,0.25,25.76,25.8,25.8,NaN,25.73,25.15,25.73,6450483,0.264003787890764,0.347003787890764,1,68,625.04,28.164419185865,25.6,25.68706,10.750039693262,22.0080168454827,23.3,23.34699,20.3,756225,90448,89865,665777,0.062300492578725,0.434102201551485,0.499660521281716,0.0586924763857643,1,1,NaN,2.3497081583601,50,0.286543748287771,25.9370486026843,581117.292549414,6932789.35771544
86,581119.33,6932794.48,91.54,NA,NA,581119.148,547666,0,0.09,8.88,9.4,9.4,NaN,8.86,8.25,8.86,6450577,0.219665654775224,0.261665654775224,1,44,32.88,9.29613015273708,8.9,8.99936,9.11730223641365,8.27756288734439,4.204,4.19412,4.204,125244,33779,33779,91465,0.00678725666147942,0,0.0461828188561799,0.0442891820056514,2,2,NaN,1.98135233666908,42,0.0996975967716671,9.12538724946617,581119.344398202,6932794.4936113
